"is_first_search","total_searches","searches_with_click","successful_reservations","search_to_click_rate","click_to_reservation_rate","overall_conversion_rate"
0,92059,43740,10338,47.51301,23.63512,11.22975
1,7941,3775,1036,47.53809,27.44371,13.04622
